"term","x__rank","x__score","x__week"
"Morgan Wallen","2","13","2024-07-07"
"Maxine Waters","4","8","2024-07-07"
"Lakers summer league","6","100","2024-07-07"
"Divorce in the Black","7","10","2024-07-07"
"Mercury vs Fever","7","14","2024-07-07"
"Free Slurpee Day","8","100","2024-07-07"
"Paul Skenes","9","72","2024-07-07"
"Descendants: The Rise of Red","10","31","2024-07-07"
"ESPYS 2024","10","100","2024-07-07"
"CPI","11","32","2024-07-07"
"Stop and Shop closing stores","11","100","2024-07-07"
"NBA Summer League","12","76","2024-07-07"
"Monte Kiffin","12","100","2024-07-07"
"Whit Merrifield","13","5","2024-07-07"
"Vice President Trump","13","100","2024-07-07"
"Yankees vs Orioles","14","","2024-07-07" 
"Lupus","14","57","2024-07-07"
"Descendants","15","43","2024-07-07"
"Sausage Party: Foodtopia","15","100","2024-07-07"
"Patrick Mahomes","16","3","2024-07-07"
"Jurgen Klopp","16","65","2024-07-07"
"Sean Burroughs","17","10","2024-07-07"
"Prince Harry","17","12","2024-07-07"
"Davante Adams","18","16","2024-07-07"
"AT&T data breach","18","100","2024-07-07"
"Jamal Adams","19","","2024-07-07"
"Biden press conference","21","100","2024-07-07"
"Costco stock","22","14","2024-07-07"
"Eminem","22","34","2024-07-07"
"Harrison Butker","24","12","2024-07-07"
"Kawhi Leonard","24","36","2024-07-07"
"Steve Gleason","25","100","2024-07-07"
"Benji Gregory","25","100","2024-07-07"
"Copa America","1","80","2024-07-14"
"Trump","1","100","2024-07-14"
"J.D. Vance","1","100","2024-07-14"
"Richard Simmons","2","100","2024-07-14"
"Kai Trump","2","100","2024-07-14"
"Jacoby Jones","2","100","2024-07-14"
"CNN","3","64","2024-07-14"
"Usha Vance","3","100","2024-07-14"
"Republican National Convention","3","100","2024-07-14"
"Spain vs England","4","100","2024-07-14"
"Emmy Nominations 2024","4","100","2024-07-14"
"Carlos Alcaraz","4","100","2024-07-14"
"News today","5","57","2024-07-14"
"The Open","5","72","2024-07-14"
"Canada vs Uruguay","5","100","2024-07-14"
"Tornado Warning Chicago","6","","2024-07-14"
"Adam Schiff","6","19","2024-07-14"
"Full moon","6","53","2024-07-14"
"Chicago Sky","6","65","2024-07-14"
"Barron Trump","6","80","2024-07-14"
"Colombia","6","100","2024-07-14"
"Matt Gaetz","7","10","2024-07-14"
"Breaking News","7","38","2024-07-14"
"Teoscar Hernandez","7","40","2024-07-14"
"Jasmine Paolini","7","42","2024-07-14"
"Chicago","7","56","2024-07-14"
"Kid Rock","7","65","2024-07-14"
"Kimberly Cheatle","7","100","2024-07-14"
"Nashville, Il dam","8","","2024-07-14"
"Kate Middleton","8","7","2024-07-14"
"MLS","8","48","2024-07-14"
"CBS News","8","89","2024-07-14"
"First Baptist Dallas","8","100","2024-07-14"
"Big Brother","9","40","2024-07-14"
"Soccer","9","41","2024-07-14"
"Bird flu outbreak Colorado","9","100","2024-07-14"
"Robert F. Kennedy Jr","10","","2024-07-14"
"Vivek Ramaswamy","10","18","2024-07-14"
"Lady in the Lake","10","91","2024-07-14"
"Morning Joe","10","100","2024-07-14"
"Dr. Ruth death","11","","2024-07-14"
"Jordan Addison","11","24","2024-07-14"
"Harry Connick Jr","11","28","2024-07-14"
"Jersey","11","52","2024-07-14"
"Tim Scott","11","55","2024-07-14"
"Ben Sasse","12","18","2024-07-14"
"The Open leaderboard","12","41","2024-07-14"
"Sue Mi Terry South Korea","12","100","2024-07-14"
"College Football 25 release date","12","100","2024-07-14"
"Jfk","12","100","2024-07-14"
"Ingrid Andress","12","100","2024-07-14"
"Kids' Choice Awards 2024","13","","2024-07-14"
"Shannen Doherty Holly Marie Combs","13","","2024-07-14"
"Russell Westbrook","13","20","2024-07-14"
"Tel Aviv","13","26","2024-07-14"
"Amazon Prime Day","13","55","2024-07-14"
"The Boys Season 4 Episode 8","13","100","2024-07-14"
"DEI","13","100","2024-07-14"
"Jason Aldean","14","4","2024-07-14"
"Associated Press","14","15","2024-07-14"
"AOC","14","16","2024-07-14"
"Skip Bayless","14","21","2024-07-14"
"Wiz","14","31","2024-07-14"
"Jack Black","14","100","2024-07-14"
"Nikki Haley","15","25","2024-07-14"
"National Hot Dog Day","15","34","2024-07-14"
"Travis Bazzana","15","82","2024-07-14"
"NCAA Football 25","15","100","2024-07-14"
"Rory McIlroy","16","22","2024-07-14"
"New York post","16","65","2024-07-14"
"Alec Bohm","16","69","2024-07-14"
"BlackRock","16","100","2024-07-14"
"Best Prime Day Deals 2024","16","100","2024-07-14"
"Odell Beckham Jr","17","3","2024-07-14"
"Derecho","17","14","2024-07-14"
"Terrell Davis United Airlines","17","16","2024-07-14"
"50 Cent","17","27","2024-07-14"
"RNC Convention 2024","17","100","2024-07-14"
"Ambani wedding","17","100","2024-07-14"
"Bernie Sanders","18","2","2024-07-14"
"Tucker Carlson","18","7","2024-07-14"
"Jay Slater Tenerife missing","18","12","2024-07-14"
"Leny Yoro","18","17","2024-07-14"
"All-Star Game 2024","18","21","2024-07-14"
"UFC","18","100","2024-07-14"
"ROME, N.Y tornado","19","","2024-07-14"
"Alec Baldwin","19","8","2024-07-14"
"NCAA","19","14","2024-07-14"
